日期,湖北,广东,北京,上海,浙江,天津,重庆,江西,山东,河南,湖南,四川,云南,山西,福建,辽宁,海南,安徽,贵州,广西,宁夏,河北,江苏,吉林,黑龙江,陕西,新疆,甘肃,内蒙古,青海,西藏
1月11日,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月12日,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月13日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月14日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月15日,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月16日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月17日,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月18日,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月19日,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月20日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月21日,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月22日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月23日,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月24日,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1月25日,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月26日,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月27日,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1月28日,33,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1月29日,10,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1月30日,26,3,1,0,5,0,0,4,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1月31日,50,1,0,4,6,0,0,2,1,0,1,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2月1日,49,2,4,1,8,0,2,1,2,1,5,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0
2月2日,80,2,3,0,13,1,4,8,1,10,8,9,1,1,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0
2月3日,101,6,11,0,12,0,2,1,1,6,6,2,2,0,1,0,0,7,0,5,1,0,1,0,0,1,0,3,0,0,0
2月4日,125,12,1,2,15,1,5,8,6,21,13,9,0,2,6,1,1,6,3,3,0,1,5,0,2,1,0,1,0,0,0
2月5日,113,17,7,3,18,0,1,10,5,13,21,4,0,2,4,2,1,3,1,4,0,3,13,1,3,4,0,2,3,3,0
2月6日,184,19,2,10,17,0,9,8,13,14,35,10,2,6,4,1,3,11,0,3,0,9,12,2,1,5,0,3,0,0,0
2月7日,298,29,1,5,29,0,7,10,7,29,28,13,5,3,5,2,3,13,0,0,2,9,5,0,4,6,0,0,0,0,0
2月8日,324,28,3,11,46,2,8,17,12,34,40,10,5,6,4,1,4,12,1,1,10,5,8,1,1,3,0,3,1,0,0
2月9日,356,18,7,3,28,0,12,30,13,38,27,16,1,4,11,4,4,14,0,0,0,5,21,7,2,6,0,4,0,0,0
2月10日,427,38,4,4,50,4,15,25,8,29,27,6,1,1,4,0,0,15,3,12,1,6,12,1,12,5,0,5,0,0,0
2月11日,417,60,8,5,28,2,13,25,9,33,50,3,0,4,7,7,1,20,7,1,8,7,10,5,1,5,3,3,0,2,0
2月12日,802,43,12,4,48,1,23,18,18,27,49,8,3,3,8,3,7,20,3,2,2,6,37,4,3,6,0,7,1,4,1
2月13日,690,48,11,5,40,10,26,17,13,55,40,12,4,3,5,2,3,38,8,2,0,15,6,3,6,7,3,8,0,2,0
2月14日,912,54,18,28,42,11,24,23,28,45,37,10,5,2,7,7,8,32,5,5,3,17,23,0,11,4,0,5,0,0,0
2月15日,849,50,8,34,28,5,32,29,25,42,41,12,7,8,11,3,1,34,4,6,6,14,30,3,11,16,5,5,1,2,0
2月16日,1016,37,9,16,33,8,23,36,11,41,37,9,0,4,7,9,13,34,10,5,0,9,36,2,10,21,1,5,1,0,0
2月17日,1223,57,8,21,44,1,18,35,18,67,34,27,5,3,7,2,7,27,19,7,2,14,37,4,5,5,0,4,0,0,0
2月18日,1266,41,23,16,30,2,29,52,22,47,41,14,10,8,5,12,20,68,3,18,7,13,33,2,23,10,2,4,1,2,0
2月19日,1209,48,8,9,65,6,20,70,23,62,36,21,3,7,16,3,5,63,2,11,0,16,29,4,15,16,6,3,2,1,0
2月20日,1451,45,16,13,38,5,25,57,36,103,60,24,19,8,22,3,5,76,5,8,2,18,27,4,18,12,2,6,5,0,0
2月21日,1767,56,9,12,47,3,17,55,19,85,32,20,17,2,16,5,7,67,14,4,4,14,35,2,42,23,2,5,6,2,0
2月22日,1742,20,11,16,35,3,12,67,18,85,35,14,11,3,16,2,8,53,1,5,0,20,24,6,32,13,1,0,4,0,0
2月23日,1439,32,9,22,36,16,7,34,14,59,17,7,8,7,9,5,2,28,11,3,9,17,16,2,9,9,3,2,4,0,0
2月24日,2116,33,17,12,29,6,14,37,18,59,30,15,9,6,14,10,10,44,1,22,1,20,31,6,8,13,2,2,4,0,0
2月25日,2058,36,20,7,20,4,23,37,14,34,28,14,5,4,17,5,8,35,1,9,3,7,5,3,13,11,0,0,1,0,0
2月26日,2288,32,13,4,67,5,12,35,24,39,14,18,15,6,20,4,5,37,8,21,4,13,31,2,17,8,4,1,3,0,0
2月27日,3203,46,9,4,62,6,17,36,9,41,27,16,6,3,7,1,4,50,0,7,3,13,12,3,19,3,9,1,5,0,0
2月28日,2492,53,14,3,44,3,21,21,21,58,21,24,6,5,9,2,4,28,0,6,0,3,13,5,15,3,9,0,3,0,0
2月29日,2292,37,5,8,40,4,16,20,20,58,12,13,1,2,2,6,12,26,0,7,1,6,10,2,35,7,10,0,5,0,0
3月1日,2570,25,6,3,23,2,12,19,24,20,23,15,6,2,4,2,3,20,2,9,0,11,7,3,20,2,2,2,0,0,0
3月2日,2410,47,6,2,36,7,19,20,42,18,16,11,5,3,8,0,0,29,0,14,0,3,19,5,8,7,3,1,3,0,0
3月3日,2389,48,6,2,21,6,21,14,14,11,21,11,1,5,6,3,4,24,0,8,0,3,10,1,14,2,1,1,5,0,0
3月4日,1923,30,3,4,23,4,12,17,65,5,20,18,0,0,9,0,3,15,0,3,0,1,15,2,7,4,1,1,4,0,0
3月5日,1487,50,1,5,23,0,10,7,26,2,13,10,0,2,8,0,0,14,0,4,0,3,8,2,1,2,1,0,2,0,0
3月6日,1502,24,5,3,8,0,8,8,23,2,13,20,1,0,6,0,0,9,1,2,2,1,13,2,22,2,1,0,0,0,0
3月7日,1543,17,5,7,8,0,6,2,12,3,6,9,0,0,11,2,0,2,2,4,0,2,9,0,7,0,1,0,3,0,0
3月8日,1422,10,7,1,13,1,1,5,10,1,14,8,0,0,0,1,1,3,6,7,0,0,8,0,12,1,1,0,2,0,0
3月9日,1152,10,5,1,8,1,15,4,56,0,9,5,0,1,0,1,0,0,6,4,0,0,4,1,13,0,0,1,0,0,0
3月10日,1471,12,6,4,15,1,5,5,18,2,7,14,0,4,0,1,0,0,4,3,0,0,5,0,1,0,0,0,0,0,0
3月11日,1242,6,8,1,4,1,7,2,12,0,3,10,0,0,0,0,1,0,4,4,1,0,1,0,5,5,0,0,1,0,0
3月12日,1255,8,8,1,0,0,10,0,6,0,6,6,0,1,0,1,0,0,3,2,0,3,2,0,6,0,0,0,0,0,0
3月13日,1390,3,7,3,2,0,2,0,1,0,5,10,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0
3月14日,1335,4,4,0,0,0,3,0,1,1,5,5,2,0,0,0,0,0,0,0,1,0,1,0,6,0,0,2,0,0,0
3月15日,816,3,5,0,2,1,1,0,2,0,0,1,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0
3月16日,893,1,9,1,3,0,0,0,3,0,0,4,0,0,0,5,1,0,1,1,2,0,0,0,2,1,0,0,2,0,0
3月17日,896,5,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0
3月18日,795,6,6,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3月19日,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
